Mchirp q EOS_ID alpha zeta L
0.118530267908615916E+01 0.136027310548715308E+01 0.336729859963683111E+04 -0.169185178022836435E+01 0.298386379908915589E+00 0.849133481061626227E+01
0.119353143678354034E+01 0.117143370548926185E+01 0.478521674984538913E+04 -0.151770284492892626E+01 0.663195152865851956E-01 0.849726170204536047E+01
0.118444170697189399E+01 0.119372375769361794E+01 0.461045225591036706E+04 -0.164096173563842185E+01 0.105513834316934257E+00 0.850015297306114093E+01
0.118962368949588226E+01 0.130254056904602367E+01 0.333333264497296796E+04 -0.178312665282660610E+01 0.847178802118329355E-01 0.850481553480685193E+01
0.118553557833122292E+01 0.104847130677038858E+01 0.397874151420717135E+04 -0.191426595793950649E+01 0.852868365413946977E-01 0.852146118220536231E+01
0.119130879362587905E+01 0.159815819078325427E+01 0.450809452427045380E+04 -0.189128080585385083E+01 0.182687927751371465E+00 0.852240947158602680E+01
0.119204263642431352E+01 0.117384188751989771E+01 0.451012768880090152E+04 -0.194053055311086120E+01 0.959631016035544515E-01 0.852310218503868633E+01
0.118429495141829388E+01 0.140524382325798625E+01 0.422225912915678418E+04 -0.158870043124671900E+01 0.335555772116403639E+00 0.853297036985183333E+01
0.118759685081369071E+01 0.145597738772762719E+01 0.340441932812610139E+04 -0.155465965527957017E+01 0.218782690818904557E+00 0.853912345671903239E+01
0.119131208422614510E+01 0.151784642207968390E+01 0.409354777341885028E+04 -0.159811382916305922E+01 0.834633014171573956E-01 0.855076956400331945E+01
0.118952915744698839E+01 0.147874083147689772E+01 0.317145547253931409E+04 -0.148438126422537398E+01 0.424776944717634788E-01 0.855691281167900542E+01
0.119203289261937173E+01 0.108273954747207912E+01 0.301002300875128913E+04 -0.128368394811449416E+01 0.254961251815545908E+00 0.858300344097591683E+01
0.118934605117808045E+01 0.132238904774606025E+01 0.364702738677375783E+04 -0.161947005261270305E+01 0.300912937958187743E+00 0.858370508455459280E+01
0.118691626021571217E+01 0.121815764904022217E+01 0.302482157945632935E+04 -0.191736841201782227E+01 0.256367057561874390E+00 0.858982144955520965E+01
